11040	18341	23930	28147	19813	22524	31005	31179	26499	21491	0	0	0	0	0	0	
27405	30037	44917	40345	28849	40083	40644	35782	38785	24262	0	0	0	0	0	0	
17236	13716	21091	22133	18642	20095	22172	19825	24317	17998	0	0	0	0	0	0	
21781	16546	28740	28651	22446	31267	34919	29587	34882	27186	0	0	0	0	0	0	
23287	20568	25923	28053	14492	28647	26793	19519	24484	19122	0	0	0	0	0	0	
32332	32874	41180	40312	31412	44683	45536	37055	44306	28381	0	0	0	0	0	0	
20107	19917	24196	23741	25574	31220	26130	23661	28921	20930	0	0	0	0	0	0	
26358	17961	30000	33481	23016	32149	32849	24672	32177	28226	0	0	0	0	0	0	
20666	19250	30901	30004	23550	25738	33333	26490	29496	19892	0	0	0	0	0	0	
17044	22066	27038	29760	24455	26477	32363	30885	29894	21687	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
